Coordenada_genetica;Gen;Enfermedad_asociada;Significancia_clinica
Chr17:78092457;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082275;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78093091;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086697;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078900;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78093121;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083841;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082390;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086358;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081479;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091980;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092489;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086455;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082615;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78082140;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078351;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087128;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082141;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092450;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082123;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082104;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082621;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092538;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082384;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083739;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091536;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082303;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092510;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086447;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086495;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082304;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092534;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092619;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078460;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084650;GAA;Enfermedad de Pompe;Benign
Chr17:78086787;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079558;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083810;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085889;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082639;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086368;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092577;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083787;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086759 - 78086760;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078784;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078799;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082361;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087161;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082624;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092087;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78081530;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091390;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087133;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087019;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083809 - 78083810;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086999;GAA;Enfermedad de Pompe;Benign
Chr17:78085876;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082315 - 78082316;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78092039;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081504;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086360;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082346 - 78082348;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082415;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084836;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082226;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084549;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092506 - 78092507;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78090824;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084645;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078718;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092523;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082218;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084782;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081402;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78084643;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082319;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079701;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086515;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079553;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091455;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082156;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082138;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078808;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079638;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084768;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078792;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082501;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082426;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079614;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082187;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082370 - 78082372;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079588;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78082586;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078831;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078650;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086802;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086365;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083810;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083779;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092463;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079594;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084820;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092093;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078337 - 78078344;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78093070;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078544;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078644;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082419;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082277;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082222;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090815;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78081440;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084767;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086470;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78091430;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091426;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081363;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083762;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092160;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086427;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087058;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079597;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079614;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085771;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086791;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091976;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090781;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086998 - 78086999;GAA;Enfermedad de Pompe;Benign
Chr17:78078551;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079620;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085901;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78081706;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084620;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082094;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078933 - 78078934;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086828;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78081455;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079610;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081713;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084842;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091447;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081634;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085876;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081601;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092538;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078800;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092541;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081674;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086504;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091431;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087133;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081585;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082424 - 78082425;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091429;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091408;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083874;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081637;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078622;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092159;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086449;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78085891;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081337;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082319;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091530;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082089;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086681;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082568;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081507;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082407 - 78090766;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78081415;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78093094;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092583;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092556;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092126;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091498;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086808;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078898;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078887;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086751;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78091412 - 78091413;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082153;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78091461;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78087063;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78081491 - 78081492;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086435;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78084763 - 78084764;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78090896;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082543 - 78082544;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78079597 - 78079601;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78091421;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078437;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092546;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082091 - 78082092;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092155;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084527;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087084;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084557;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087077;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091519;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086469 - 78086470;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78082318;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78081375;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085824;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081458;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091478;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78084790 - 78084793;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78091523;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78081459;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083802;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085815;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78078631;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78085849 - 78085850;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78091444;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086456;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092541 - 78092542;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78092060;GAA;Enfermedad de Pompe;Likely benign
Chr17:78093088;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082331;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091404;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085837;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079709;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079643;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081712;GAA;Enfermedad de Pompe;Likely benign
Chr17:78093065;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084728;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081607;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079610;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086419;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078948;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092114;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082085;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078532;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082159;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082397;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086748;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079539;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082531;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086380;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081337;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086834;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091452;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082585;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084517;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081705;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082273;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081676;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079580;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082501;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087067;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082150;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079634;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092601;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085873;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078484;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082072;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082647;GAA;Enfermedad de Pompe;Likely benign
Chr17:78093095;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092571;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091485;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078619;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078886;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078806;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092535;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087028;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092135;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084834;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083725 - 78083726;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086712;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078523;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78079595;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078493;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081509;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081525 - 78081526;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091539;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091560;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082376;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087004;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078939 - 78078944;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079705;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092103;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078406;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090788;GAA;Enfermedad de Pompe;Likely benign
